Date,Close,Position,Action,Q_Action,Holdings,Cash,Capitals,Returns
2024-01-02,465.266,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-03,461.466,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-04,459.98,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-05,460.61,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-08,467.185,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-09,466.476,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-10,469.114,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-11,468.908,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-12,469.233,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-16,467.509,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-17,464.911,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-18,469.045,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-19,474.892,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-22,475.897,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-23,477.285,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-24,477.806,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-25,480.404,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-26,479.794,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-29,483.595,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-30,483.221,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
2024-01-31,475.335,1.0,1.0,1.0,498151.07999999996,354.46676000009757,498505.54676000006,-0.0029889064799998887
2024-02-01,481.558,1.0,0.0,0.0,504672.784,354.46676000009757,505027.2507600001,0.013082510400109607
2024-02-02,486.627,1.0,0.0,0.0,509985.096,354.46676000009757,510339.5627600001,0.010518862085175995
2024-02-05,484.855,1.0,0.0,0.0,508128.04000000004,354.46676000009757,508482.50676000013,-0.0036388634852385707
2024-02-06,486.262,1.0,0.0,0.0,509602.576,354.46676000009757,509957.0427600001,0.0028998755717193894
2024-02-07,490.317,1.0,0.0,0.0,513852.216,354.46676000009757,514206.6827600001,0.008333329366332553
2024-02-08,490.534,1.0,0.0,0.0,514079.632,354.46676000009757,514434.0987600001,0.0004422657418206135
2024-02-09,493.369,1.0,0.0,0.0,517050.71200000006,354.46676000009757,517405.17876000016,0.005775433640891247
2024-02-12,493.153,1.0,0.0,0.0,516824.34400000004,354.46676000009757,517178.81076000014,-0.0004375062509859767
2024-02-13,486.361,1.0,0.0,0.0,509706.328,354.46676000009757,510060.7947600001,-0.013763162472840014
2024-02-14,490.781,0.0,-1.0,-1.0,0.0,513149.9392960001,513149.9392960001,0.00605642419048023
2024-02-15,494.167,0.0,0.0,0.0,0.0,513149.9392960001,513149.9392960001,0.0
2024-02-16,491.706,1.0,1.0,1.0,511374.24,241.57657600019593,511615.8165760002,-0.002989618827792551
2024-02-20,488.998,0.0,-1.0,-1.0,0.0,507273.8228160002,507273.8228160002,-0.008486824721446004
2024-02-21,489.442,0.0,0.0,0.0,0.0,507273.8228160002,507273.8228160002,0.0
2024-02-22,499.571,1.0,1.0,1.0,505565.852,191.27326000022003,505757.12526000023,-0.0029898991191392717
2024-02-23,499.916,1.0,0.0,0.0,505914.99199999997,191.27326000022003,506106.2652600002,0.0006903313518726394
2024-02-26,498.085,1.0,0.0,0.0,504062.01999999996,191.27326000022003,504253.2932600002,-0.0036612311034088622
2024-02-27,499.01,1.0,0.0,0.0,504998.12,191.27326000022003,505189.3932600002,0.0018564083021612879
2024-02-28,498.35,1.0,0.0,0.0,504330.2,191.27326000022003,504521.47326000023,-0.0013221180193231665
2024-02-29,500.142,1.0,0.0,0.0,506143.70399999997,191.27326000022003,506334.9772600002,0.0035945031006943593
2024-03-01,504.838,1.0,0.0,0.0,510896.05600000004,191.27326000022003,511087.32926000026,0.00938578651176169
2024-03-04,504.296,1.0,0.0,0.0,510347.55199999997,191.27326000022003,510538.8252600002,-0.0010732099361458415
2024-03-05,499.256,0.0,-1.0,-1.0,0.0,503922.6040440002,503922.6040440002,-0.0129592910247924
2024-03-06,501.785,1.0,1.0,1.0,502286.78500000003,128.9586890002247,502415.74368900026,-0.0029902614864015533
2024-03-07,506.767,1.0,0.0,0.0,507273.767,128.9586890002247,507402.7256890002,0.009926006624280758
2024-03-08,503.725,1.0,0.0,0.0,504228.72500000003,128.9586890002247,504357.68368900026,-0.006001233036076238
2024-03-11,503.291,1.0,0.0,0.0,503794.29099999997,128.9586890002247,503923.2496890002,-0.0008613609231101744
2024-03-12,508.705,1.0,0.0,0.0,509213.70499999996,128.9586890002247,509342.6636890002,0.010754443267590093
2024-03-13,507.91,1.0,0.0,0.0,508417.91000000003,128.9586890002247,508546.86868900026,-0.0015623961170584963
2024-03-14,506.905,1.0,0.0,0.0,507411.90499999997,128.9586890002247,507540.8636890002,-0.001978195249915659
2024-03-15,503.424,1.0,0.0,0.0,503927.424,128.9586890002247,504056.3826890002,-0.0068654196130601905
2024-03-18,506.416,1.0,0.0,0.0,506922.41599999997,128.9586890002247,507051.3746890002,0.005941779735081465
2024-03-19,509.231,1.0,0.0,0.0,509740.23099999997,128.9586890002247,509869.1896890002,0.005557257391774765
2024-03-20,513.939,1.0,0.0,0.0,514452.93899999995,128.9586890002247,514581.8976890002,0.009242974659587781
